Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-18,157.5186954058707,158.3294879514875,153.70129516341197,154.70140075683594,4740000,0.0,0.0
2024-07-19,154.99775257686554,156.52839687320065,154.70137388588245,156.14544677734375,4002500,0.0,0.0
2024-07-22,156.4898462292642,156.8299160486938,153.69538817487663,153.8685760498047,6365000,0.0,0.0
2024-07-23,153.77410613521278,155.28508212547962,153.5627523685565,154.25428771972656,5212500,0.0,0.0
2024-07-24,152.71141424613734,153.14712398595657,149.56272823351867,149.79022216796875,8052500,0.0,0.0
2024-07-25,149.01169817205874,149.01169817205874,143.3853826542306,144.04779052734375,12062500,0.0,0.0
2024-07-26,145.5694118432962,146.1873329506039,144.01906886488518,145.66583251953125,5850000,0.0,0.0
2024-07-29,147.00837597444672,149.54817965284107,146.2282873031907,147.79672241210938,5615000,0.0,0.0
2024-07-30,147.6778397539072,149.22581044996713,144.98729459232158,146.4530029296875,5492500,0.0,0.0
2024-07-31,148.618123907627,148.618123907627,145.63160521616908,146.2176513671875,9827500,0.0,0.0
2024-08-01,146.26564204925072,147.5322029832138,142.92803373115254,144.21702575683594,13797500,0.0,0.0
2024-08-02,130.33960327860908,136.39966317789475,129.53118290415875,130.9906005859375,20037500,0.0,0.0
2024-08-05,126.14433565413407,133.3213840697717,125.1603704540018,133.16709899902344,16630000,0.0,0.0
2024-08-06,134.40965914089338,137.39224374815572,133.28753397539003,134.49151611328125,10732500,0.0,0.0
2024-08-07,133.92359073714164,136.66649024160455,129.560682728387,130.1046142578125,10492500,0.0,0.0
2024-08-08,130.51590664642097,134.19631726714135,130.1943342779855,133.6165771484375,9432500,0.0,0.0
2024-08-09,133.6165778192681,136.02335587937537,133.6165778192681,135.51365661621094,6295000,0.0,0.0
2024-08-12,135.48846792191546,136.6322284262182,133.79053631778453,135.36134338378906,5317500,0.0,0.0
2024-08-13,137.16318404249532,140.5987895298248,136.67276290128206,140.4220733642578,6582500,0.0,0.0
2024-08-14,140.58896442825255,142.09521084416426,140.02377294402598,140.61178588867188,4750000,0.0,0.0
2024-08-15,142.47818950630128,143.81480653616424,141.9759671881745,143.05557250976562,5045000,0.0,0.0
2024-08-16,143.055564004525,143.1295685982132,141.38715003324972,142.4333038330078,4907500,0.0,0.0
2024-08-19,142.34119422367712,145.8547380286332,142.10189921323598,145.70596313476562,4952500,0.0,0.0
2024-08-20,145.31788721524495,146.39472973177362,144.27054743908855,145.72525024414062,4400000,0.0,0.0
2024-08-21,145.72526861815595,147.39958312715393,144.96328705814523,147.12249755859375,6540000,0.0,0.0
2024-08-22,147.69005843524457,149.21520779624356,147.69005843524457,148.3068084716797,4347500,0.0,0.0
2024-08-23,148.74724311447557,151.65780562241997,147.96596829224555,150.76634216308594,5582500,0.0,0.0
2024-08-26,151.21577279834784,151.85810680458428,148.9624989763211,149.47967529296875,5480000,0.0,0.0
2024-08-27,149.50446902776034,153.5607734414533,149.50446902776034,152.7684783935547,5907500,0.0,0.0
2024-08-28,152.63271729495818,153.9539900058241,151.93724817789246,153.42933654785156,5805000,0.0,0.0
2024-08-29,154.08897695282423,154.67029362936066,152.80115587184804,153.1368865966797,5600000,0.0,0.0
2024-08-30,154.68326958335294,155.08276524437358,152.935746320518,153.8618621826172,5990000,0.0,0.0
2024-09-03,152.554354641322,153.7122733395342,149.4922555948375,150.1050567626953,6917500,0.0,0.0
2024-09-04,148.624433511383,149.90043857037364,148.36191161442875,149.53164672851562,5490000,0.0,0.0
2024-09-05,147.76363722034216,149.16559552986544,146.89774299027417,148.84954833984375,5307500,0.0,0.0
2024-09-06,149.00772317818362,149.68626461306474,146.002827061395,147.20130920410156,7077500,0.35,0.0
2024-09-09,147.91815330046254,150.26541148037688,146.6975639979686,150.02359008789062,6025000,0.0,0.0
2024-09-10,150.6338869862804,151.38618343227736,149.03537366781183,151.28323364257812,4372500,0.0,0.0
2024-09-11,151.32976490007715,151.32976490007715,146.7275440708313,150.99325561523438,6135000,0.0,0.0
