Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-18,117.2865466677923,117.56735613505623,114.54393206954927,116.30369567871094,9501400,0.0,0.0
2024-07-19,117.28655064494346,118.86846331278934,117.17422256935106,117.72648620605469,6848800,0.0,0.0
2024-07-22,117.89498576518245,118.40045144038562,117.03382519622767,117.65161895751953,4341800,0.0,0.0
2024-07-23,116.99638074905162,117.58609426535739,116.23818581833144,116.4253921508789,4285400,0.0,0.0
2024-07-24,116.97766440968013,118.10091670169386,116.7062102251263,117.86690521240234,6338500,0.0,0.0
2024-07-25,117.96985725192182,119.67346041209439,117.67032286578588,117.8013687133789,7357100,0.0,0.0
2024-07-26,119.10248192923471,120.49718836293184,117.0525462022473,117.24911499023438,6467000,0.0,0.0
2024-07-29,117.73584892525304,119.80450945045291,116.9308489020487,119.60794067382812,9139500,0.0,0.0
2024-07-30,115.58294028371174,116.0135205012833,106.62498212716221,107.87928009033203,35509400,0.0,0.0
2024-07-31,108.58132899024997,110.30365009115823,105.04307648130535,105.8948745727539,22733000,0.0,0.0
2024-08-01,105.89486702923384,107.14917221246868,104.28487412669043,106.54074096679688,14117500,0.0,0.0
2024-08-02,107.79505346070502,109.79819119322777,107.04621385502051,107.83248901367188,16562300,0.0,0.0
2024-08-05,107.59847228684535,107.75760551578757,104.21934604986681,105.12731170654297,13334000,0.0,0.0
2024-08-06,105.11795812671231,105.848072790941,103.82621020557214,104.04150390625,9761900,0.0,0.0
2024-08-07,104.53761195075818,105.35197449794444,103.63900869599945,105.29580688476562,9756500,0.0,0.0
2024-08-08,105.69830011888494,106.9245250902148,105.37068548588209,106.63434600830078,8278200,0.0,0.0
2024-08-09,106.5032855644768,107.38317086525439,105.65148763536305,107.22404479980469,5914100,0.0,0.0
2024-08-12,107.37382853556845,107.37382853556845,105.87615646522926,106.22249603271484,6536000,0.0,0.0
2024-08-13,106.30673008023894,107.52359257824071,105.62341344704585,107.07428741455078,9040300,0.0,0.0
2024-08-14,106.39098646442314,106.64371572953307,104.37848623682964,106.31610107421875,11029400,0.0,0.0
2024-08-15,106.86835450599517,107.17725135485553,105.37068255290991,106.0633544921875,9685100,0.0,0.0
2024-08-16,106.34418437509288,106.44715000422548,105.41750085436361,106.40034484863281,10102300,0.0,0.0
2024-08-19,106.39098146668799,107.27085976513345,106.06335968529989,107.10237121582031,6177500,0.0,0.0
2024-08-20,107.42062654977428,107.92609217894478,107.22405777311852,107.77632141113281,5392300,0.0,0.0
2024-08-21,107.4393481330632,109.14295139925838,107.22406157353204,108.60940551757812,8144100,0.0,0.0
2024-08-22,108.86213416962264,109.25527170890862,107.85120294734752,109.09614562988281,8201200,0.0,0.0
2024-08-23,109.33017307518479,109.33952839310966,108.5064480440967,109.14295959472656,8368200,0.0,0.0
2024-08-26,109.26464043562048,110.35981241851883,108.73109456127538,108.83405303955078,6518700,0.0,0.0
2024-08-27,108.83405322542558,109.16167500231599,107.87928955340078,109.04934692382812,5502600,0.0,0.0
2024-08-28,109.14296028312981,110.4721438661786,108.80598315764362,109.89179992675781,5403200,0.0,0.0
2024-08-29,110.38789499299826,110.82783771548868,109.32080322168524,109.94795227050781,7202500,0.0,0.0
2024-08-30,109.77009179009912,111.15544276639986,109.65777086057675,110.87462615966797,8876500,0.0,0.0
2024-09-03,110.69678678118639,111.23968795923254,108.97445866378565,109.12422943115234,7640300,0.0,0.0
2024-09-04,109.19911931682115,109.26464224487961,107.14917648812121,108.39411926269531,7693400,0.0,0.0
2024-09-05,109.15231694859558,112.39103502366164,108.90894300611556,111.00568389892578,12009700,0.0,0.0
2024-09-06,111.48306207282262,112.60632140557075,110.12579841323145,110.30364227294922,8577300,0.0,0.0
2024-09-09,105.91359463766241,109.42376675021333,105.22092267372881,108.02906036376953,14880200,0.0,0.0
2024-09-10,107.84184977492185,108.66556761503627,106.0820860131696,107.95417785644531,12734500,0.0,0.0
2024-09-11,107.5891111292802,108.47835182064881,106.96195498900089,107.37381744384766,7836600,0.0,0.0
2024-09-12,107.14916549786449,108.12265400164215,106.74666551208585,107.87928009033203,8330900,0.0,0.0
2024-09-13,108.66556579499107,109.3020772967024,107.64527918539719,108.45027923583984,6709600,0.0,0.0
2024-09-16,109.11932625783199,111.54105879489167,109.11932625783199,111.15470886230469,7846100,0.77,0.0
2024-09-17,112.10644543322198,112.26663615571563,110.93798488496907,111.4656753540039,7914900,0.0,0.0
2024-09-18,111.38086078411504,112.49278509130049,111.06990444584399,111.79547882080078,11135600,0.0,0.0
2024-09-19,112.04047310662024,112.3231613204138,109.58104754362974,110.4668197631836,9963000,0.0,0.0
2024-09-20,110.50450772657567,110.72124183129955,109.69412908131811,110.4102783203125,21200900,0.0,0.0
2024-09-23,110.43854565884612,111.34316808259108,108.85546720115669,108.95912170410156,6665300,0.0,0.0
2024-09-24,109.16643564682272,109.55278557331515,107.72470482697173,108.3277816772461,9840400,0.0,0.0
2024-09-25,108.64818433944146,109.32664049175045,108.00741420455732,108.11106872558594,7902300,0.0,0.0
2024-09-26,107.31009078611169,107.42317039570848,106.41490057517815,106.56566619873047,11132100,0.0,0.0
2024-09-27,106.6410456892981,107.74354485170535,106.4808549780238,107.13105010986328,11920100,0.0,0.0
2024-09-30,107.05566321991385,107.4325880364959,106.1981590824586,107.008544921875,10936900,0.0,0.0
2024-10-01,107.38547628597708,108.16759406995472,106.58451549518075,108.12047576904297,7715500,0.0,0.0
