Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-06-12,418.4926631902106,428.2387811667361,413.4719266437452,423.5232238769531,150086,0.0,0.0,0.0
2024-06-13,423.47403543045715,444.97457314725006,423.47403543045715,437.6600646972656,695304,0.0,0.0,0.0
2024-06-14,441.0367464236766,441.92275173596823,429.2429404693685,431.005126953125,165427,0.0,0.0,0.0
2024-06-20,431.1921690675207,438.7725000387449,426.26988403250334,428.3372497558594,183967,0.0,0.0,0.0
2024-06-21,433.0331010633123,433.0331010633123,417.45898392302934,419.3590087890625,198399,0.0,0.0,0.0
2024-06-24,419.37868896647535,419.87091747465195,413.4818010523575,414.3973388671875,106879,0.0,0.0,0.0
2024-06-25,415.234142862921,419.69373204754976,413.4719563511255,414.95849609375,223110,0.0,0.0,0.0
2024-06-26,413.6294835614042,419.62482347519165,412.73362402809175,415.3128967285156,189799,0.0,0.0,0.0
2024-06-27,418.2957757484706,418.39422745769764,413.4719424287835,415.7558898925781,109542,0.0,0.0,0.0
2024-06-28,415.75587610341523,418.37453525713505,409.55377914673915,411.79833984375,134655,0.0,0.0,0.0
2024-07-01,418.295787261767,418.295787261767,408.54966864491075,411.3553771972656,262152,0.0,0.0,0.0
2024-07-02,412.48749830826785,419.3786975640146,410.5185842351974,414.0035705566406,592000,0.0,0.0,0.0
2024-07-03,413.47196670328395,425.23624063035413,413.47196670328395,422.1844177246094,380763,0.0,0.0,0.0
2024-07-04,422.33204687048925,428.2387887847618,417.40976194192876,424.1828308105469,288788,0.0,0.0,0.0
2024-07-05,425.77768660629255,428.23882930343876,415.4408872782785,421.1507263183594,238745,0.0,0.0,0.0
2024-07-08,423.31651872227275,425.2854327628415,418.39423362085097,419.90045166015625,58355,0.0,0.0,0.0
2024-07-09,421.3476187370133,422.3320757901372,413.5211731473806,418.67974853515625,231552,0.0,0.0,0.0
2024-07-10,418.69941790323605,431.0839041908049,417.51805744746275,420.6584777832031,369477,0.0,0.0,0.0
2024-07-11,423.30669371854935,442.84817292691923,420.85540518290173,433.53521728515625,1268463,0.0,0.0,0.0
2024-07-12,435.02171896473266,442.0211938270727,418.3942257828639,434.0372619628906,471266,0.0,0.0,0.0
2024-07-15,438.0932023200296,466.05177403515336,438.0932023200296,456.8077087402344,3101727,0.0,0.0,0.0
2024-07-16,456.8077087402344,456.8077087402344,456.8077087402344,456.8077087402344,0,0.0,0.0,0.0
2024-07-17,456.8077087402344,456.8077087402344,456.8077087402344,456.8077087402344,0,0.0,0.0,0.0
2024-07-18,462.6947880902012,467.6170730698842,457.664227261722,460.66680908203125,1527203,0.0,0.0,0.0
2024-07-19,460.7258898263954,460.7258898263954,438.0932323310267,444.75799560546875,848631,0.0,0.0,0.0
2024-07-22,441.0367251159467,447.4750821491669,430.2076983831891,440.446044921875,426413,0.0,0.0,0.0
2024-07-23,442.9859699876625,448.9123902895135,440.3476024048505,444.1771545410156,260549,0.0,0.0,0.0
2024-07-24,443.99010274251305,445.4569340446095,438.1818125068583,443.0056457519531,310424,0.0,0.0,0.0
2024-07-25,444.92535396499363,446.94347880131454,430.69993827219184,432.8755798339844,219317,0.0,0.0,0.0
2024-07-26,433.1217125771448,433.1217125771448,426.2600457801448,427.44140625,250613,0.0,0.0,0.0
2024-07-29,426.26988391034524,439.19580921551557,393.9797061071824,425.4823303222656,202206,0.0,0.0,0.0
2024-07-30,426.26989943151995,431.19218464435505,418.3942430909838,422.46990966796875,127094,0.0,0.0,0.0
2024-07-31,418.4040890556868,424.30097701098043,408.54966463934306,409.96728515625,335900,0.0,0.0,0.0
2024-08-01,410.51857276097155,417.4097718241054,408.608723760015,411.95587158203125,59716,0.0,0.0,0.0
2024-08-02,413.27505493159225,419.86107495746273,412.48750131392325,417.2916564941406,96828,0.0,0.0,0.0
2024-08-05,414.4564020540949,417.3605622568071,403.6273749220402,404.87762451171875,319097,0.0,0.0,0.0
2024-08-06,406.58075457915214,413.47195380930725,406.58075457915214,411.3553771972656,69237,0.0,0.0,0.0
2024-08-07,415.9330929311211,418.39423549284373,412.0149431572908,414.5154724121094,153286,0.0,0.0,0.0
2024-08-08,411.5030486877598,423.3165333390831,411.5030486877598,420.79632568359375,148286,0.0,0.0,0.0
2024-08-09,414.5154533310737,430.20769998572877,414.5154533310737,428.1895751953125,151825,0.0,0.0,0.0
2024-08-12,430.3061653787952,430.3061653787952,414.42686898953696,417.6657409667969,65362,0.0,0.0,0.0
2024-08-13,414.46627106909466,428.2388155460357,414.46627106909466,417.0849304199219,42325,0.0,0.0,0.0
2024-08-15,421.3476277361211,423.31654188442076,418.4927082297358,421.6724853515625,44827,0.0,0.0,0.0
2024-08-16,423.30668267963676,425.2657726633682,419.6149686953569,421.3377685546875,165652,0.0,0.0,0.0
2024-08-19,418.4926798599865,424.31082437898755,417.40977114318326,420.3040771484375,67830,0.0,0.0,0.0
2024-08-20,420.29423895492556,421.3476152033126,411.5030447546371,416.1300048828125,96891,0.0,0.0,0.0
2024-08-21,419.26057769054796,419.26057769054796,404.1196232946595,412.24139404296875,193308,0.0,0.0,0.0
2024-08-22,413.4719473642511,415.29319885533766,411.0108048204163,414.0823059082031,64599,0.0,0.0,0.0
2024-08-23,413.718067600525,418.3942385014233,411.5030392790469,414.1020202636719,103693,0.0,0.0,0.0
2024-08-26,417.29164091358183,417.29164091358183,413.47194291969043,415.44085693359375,41274,0.0,0.0,0.0
2024-08-27,416.42533549518765,417.1636782886188,411.60150192008626,416.1496887207031,538759,0.0,0.0,0.0
2024-08-28,418.3942566601059,418.3942566601059,412.47766002855616,415.962646484375,651744,0.0,0.0,0.0
2024-08-29,412.7336034543095,412.7336034543095,403.82427948767975,409.8491516113281,562351,0.0,0.0,0.0
2024-08-30,413.403043154725,413.403043154725,409.84916761330317,411.3849182128906,265317,0.0,0.0,0.0
2024-09-02,411.384886908255,411.384886908255,404.6118180904785,407.260009765625,765276,0.0,0.0,0.0
2024-09-03,408.45120229855485,408.5496540069642,404.61182601653564,406.4429016113281,41744,0.0,0.0,0.0
2024-09-04,407.5652270958991,409.534141236459,405.5963129553392,406.7579650878906,48096,0.0,0.0,0.0
2024-09-05,408.5496504441632,411.4538105790756,403.6273654990528,405.9014587402344,1233858,0.0,0.0,0.0
2024-09-06,406.10819024648123,410.49889009136785,403.607691101175,404.8579406738281,1170765,0.0,0.0,0.0
2024-09-09,405.6061316288867,411.4931651660713,403.6273634770275,405.57659912109375,718174,0.0,0.0,0.0
2024-09-10,407.4667593163476,409.53412509108125,403.8833513442877,405.2221984863281,1356673,0.0,0.0,0.0
2024-09-11,407.5061530498085,407.5061530498085,403.056418006263,404.6118469238281,279447,0.0,0.0,0.0
2024-09-12,406.57090683645794,408.05744659349574,402.66261115227655,404.6118469238281,227409,0.0,0.0,0.0
